,single_y,,,,,,,,,,,,,,,,single_n,,,,,,,,,,,,,,,,double,,,,,,,,,,,,,,,
,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,
dfs_s,37.37651821862348,6.096775039043122,75.42105263157895,6.968048602477379,49.17004048582996,5.827764461287056,82.38866396761134,6.676219251366321,0,0.0,0,0.0,126.1417004048583,1.1996620218996903,126.1417004048583,1.1996620218996903,52.81781376518219,5.528492943410365,77.68016194331983,6.833005978731108,0,0.0,96.31174089068826,6.537880847902471,0,0.0,0,0.0,227.30769230769232,11.06349291802625,227.30769230769232,11.06349291802625,0,0.0,0,0.0,0,0.0,0,0.0,53.854838709677416,6.272094289429931,82.58870967741936,6.771591165399974,121.6491935483871,0.4781875308015451,121.6491935483871,0.4781875308015451
dfs_se,34.412955465587046,6.094739349125685,71.64372469635627,6.0575316866923545,49.17004048582996,5.827764461287056,75.04858299595142,10.13835528988491,0,0.0,0,0.0,115.02429149797571,8.92467444944098,115.02429149797571,8.92467444944098,49.77732793522267,5.035141966187608,73.89473684210526,6.14435531751418,0,0.0,88.66801619433198,9.74820753336519,0,0.0,0,0.0,210.1093117408907,14.643188236155941,210.1093117408907,14.643188236155941,0,0.0,0,0.0,0,0.0,0,0.0,51,5.623115968782839,75.27822580645162,10.277880501772923,110.5725806451613,8.974253219275266,110.5725806451613,8.974253219275266
dfs_sb,37.37651821862348,6.096775039043122,75.42105263157895,6.968048602477379,49.17004048582996,5.827764461287056,82.38866396761134,6.676219251366321,0,0.0,0,0.0,126.1417004048583,1.1996620218996903,126.1417004048583,1.1996620218996903,31.522267206477732,4.652837027003543,106.46558704453442,7.112755486396419,0,0.0,57.35222672064777,7.161424517449061,0,0.0,0,0.0,182.38866396761134,9.207342478958552,182.38866396761134,9.207342478958552,0,0.0,0,0.0,0,0.0,0,0.0,99.66935483870968,7.803997495515806,20.737903225806452,2.3099535632304495,119.6008064516129,1.5422259514948777,119.6008064516129,1.5422259514948777
dfs_sbe,34.412955465587046,6.094739349125685,71.64372469635627,6.0575316866923545,49.17004048582996,5.827764461287056,75.04858299595142,10.13835528988491,0,0.0,0,0.0,115.02429149797571,8.92467444944098,115.02429149797571,8.92467444944098,30.186234817813766,4.7607103036251806,103.06882591093117,8.181336573452187,0,0.0,55.902834008097166,7.242508890238259,0,0.0,0,0.0,175.23481781376518,12.214941631135169,175.23481781376518,12.214941631135169,0,0.0,0,0.0,0,0.0,0,0.0,97.33870967741936,7.819716694262616,19.080645161290324,3.2991147731679775,115.13709677419355,5.719254612144144,115.13709677419355,5.719254612144144
dfs_r,64.87044534412955,6.451945383723973,103.97570850202429,6.3005121237495745,29.806882591093117,4.707176040494503,52.14736842105263,5.937038286104192,0,0.0,0,0.0,148.07246963562753,6.371006494155484,148.07246963562753,6.371006494155484,51.568825910931174,5.604119571763436,105.57854251012145,6.616261333657529,0,0.0,60.432388663967615,6.342787030114558,0,0.0,0,0.0,222.2514170040486,11.336469499854724,222.2514170040486,11.336469499854724,0,0.0,0,0.0,0,0.0,0,0.0,74.71088709677419,6.755444103062619,50.95564516129032,5.929092948326233,118.28104838709677,1.240877851991626,118.28104838709677,1.240877851991626
dfs_re,64.04655870445345,6.695108802315553,101.58906882591093,6.783222842703806,29.917004048582996,4.76588328765264,50.81781376518219,6.127774619541974,0,0.0,0,0.0,144.5348178137652,7.69488280695192,144.5348178137652,7.69488280695192,50.274493927125505,5.719580925284514,103.0412955465587,7.131121299625755,0,0.0,58.89068825910931,6.181489169738402,0,0.0,0,0.0,215.75060728744938,13.303029162120998,215.75060728744938,13.303029162120998,0,0.0,0,0.0,0,0.0,0,0.0,72.56290322580645,6.959462727751689,49.674596774193546,5.995372681061802,114.30403225806451,4.759346113126658,114.30403225806451,4.759346113126658
dfs_rb,53.88582995951417,6.602459255870385,104.00769230769231,6.693088200996903,31.86842105263158,5.089726978305603,50.59392712550607,6.421968576667861,0,0.0,0,0.0,123.74291497975709,1.8477653917505032,123.74291497975709,1.8477653917505032,32.89716599190283,4.37618838396492,106.17692307692307,7.0089823933372255,0,0.0,57.73400809716599,6.72470413736172,0,0.0,0,0.0,185.01943319838057,8.8611325912954,185.01943319838057,8.8611325912954,0,0.0,0,0.0,0,0.0,0,0.0,95.03709677419354,7.19874566347358,24.554435483870968,3.4599449014584676,118.26895161290322,1.1830470627323293,118.26895161290322,1.1830470627323293
dfs_rbe,52.90404858299595,6.733793063462453,101.45627530364372,7.150887176923526,31.94939271255061,5.153405056190993,49.1914979757085,6.482191120630295,0,0.0,0,0.0,119.77894736842106,4.9204817085619155,119.77894736842106,4.9204817085619155,31.869230769230768,4.473166543972858,103.21983805668016,7.323116744658811,0,0.0,56.54089068825911,6.7531061823999075,0,0.0,0,0.0,179.01376518218623,11.03372223322161,179.01376518218623,11.03372223322161,0,0.0,0,0.0,0,0.0,0,0.0,92.52379032258065,7.662258431050628,23.79193548387097,3.5100638295917865,114.70846774193548,4.5153238339348665,114.70846774193548,4.5153238339348665
dfsLook_s,56.81376518218624,5.980807107067869,115.00404858299595,6.251827684445892,24.182186234817813,5.785038742284139,51.31578947368421,4.579633430963942,0,0.0,0,0.0,158.8502024291498,5.591608655586498,158.8502024291498,5.591608655586498,71.36842105263158,7.483171821154506,115.31174089068826,6.015898972964444,0,0.0,56.70040485829959,5.030730748901573,0,0.0,0,0.0,268.668016194332,17.605290378194553,268.668016194332,17.605290378194553,0,0.0,0,0.0,0,0.0,0,0.0,82.22177419354838,5.572780297149977,48.13306451612903,4.067551497658538,125.95564516129032,4.490436124267925,125.95564516129032,4.490436124267925
