,single_y,,,,,,,,,,,,,,,,,,single_n,,,,,,,,,,,,,,,,,,double,,,,,,,,,,,,,,,,,
,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,
direct,1.6666666666666667,0.6859943405700354,4.222222222222222,0.6467616667635546,5.666666666666667,1.5339299776947408,6.222222222222222,1.3527990831890462,0,0.0,0,0.0,6.888888888888889,1.2313975269103985,6.888888888888889,1.2313975269103985,251.83333333333334,38.12209487484992,2.4444444444444446,1.1991282236408358,5.333333333333333,1.3719886811400708,0,0.0,6.666666666666667,1.5339299776947408,0,0.0,0,0.0,10.666666666666666,2.1693045781865616,10.666666666666666,2.1693045781865616,234.77777777777777,31.684205669211416,0,0.0,0,0.0,0,0.0,0,0.0,3.1,0.7181848464596079,6,1.4509525002200232,6,1.4509525002200232,6,1.4509525002200232,266.0,52.75564325014758
zigZag,1.8888888888888888,0.7583952786593615,4.777777777777778,0.9428090415820634,2.5555555555555554,1.293523333527109,6.222222222222222,1.3527990831890462,0,0.0,0,0.0,8,1.0846522890932808,8,1.0846522890932808,232.5,32.56667369097,2.5555555555555554,1.0966377611066325,5.222222222222222,0.9428090415820634,0,0.0,6.666666666666667,1.5339299776947408,0,0.0,0,0.0,12.444444444444445,2.52568504911445,12.444444444444445,2.52568504911445,241.27777777777777,33.17432663540314,0,0.0,0,0.0,0,0.0,0,0.0,3.5,1.1470786693528088,6,1.4509525002200232,7,1.4509525002200232,7,1.4509525002200232,278.0,55.705995141787405
directZigZag,2.7777777777777777,1.3527990831890462,4.777777777777778,0.9428090415820634,4.555555555555555,2.228748586412992,5.888888888888889,1.2313975269103985,0,0.0,0,0.0,7.111111111111111,1.0226199851298272,7.111111111111111,1.0226199851298272,247.83333333333334,32.122925659739906,2.5555555555555554,1.0966377611066325,5,1.1881770515720091,0,0.0,6.666666666666667,1.3719886811400708,0,0.0,0,0.0,10.88888888888889,2.6764526322747537,10.88888888888889,2.6764526322747537,232.61111111111111,38.443065448085065,0,0.0,0,0.0,0,0.0,0,0.0,3.2,1.1964860832322377,5.7,1.3018205875255096,6,1.4509525002200232,6,1.4509525002200232,259.0,50.85583338687593
dfs_s,8.88888888888889,2.2462750575089703,19.333333333333332,2.3763541031440183,7.888888888888889,1.0226199851298272,4.666666666666667,3.6622076273584425,0,0.0,0,0.0,13.555555555555555,2.7055981663780924,13.555555555555555,2.7055981663780924,478.6666666666667,67.69525137573189,9.555555555555555,0.9835244081556432,20,1.9402850002906638,0,0.0,7.888888888888889,1.6409785061104059,0,0.0,0,0.0,27.11111111111111,1.9670488163112865,27.11111111111111,1.9670488163112865,523.0,15.629910992934631,0,0.0,0,0.0,0,0.0,0,0.0,11.6,2.643761275949575,4,2.9019050004400464,8,0.0,8,0.0,384.0,39.14883879436743
dfs_se,8.666666666666666,2.0579830217101063,19.333333333333332,2.3763541031440183,7.888888888888889,1.0226199851298272,4,3.3606722016672235,0,0.0,0,0.0,12.88888888888889,2.6321292854195817,12.88888888888889,2.6321292854195817,462.77777777777777,65.17537928819038,9.444444444444445,0.9835244081556432,20,1.9402850002906638,0,0.0,7.222222222222222,1.262842524557225,0,0.0,0,0.0,26.22222222222222,2.691064857144747,26.22222222222222,2.691064857144747,506.8333333333333,27.53500445956447,0,0.0,0,0.0,0,0.0,0,0.0,11.6,2.643761275949575,3,2.513123449750173,7,1.4509525002200232,7,1.4509525002200232,350.0,58.25533632660888
dfs_sb,8.88888888888889,2.2462750575089703,19.333333333333332,2.3763541031440183,7.888888888888889,1.0226199851298272,4.666666666666667,3.6622076273584425,0,0.0,0,0.0,13.555555555555555,2.7055981663780924,13.555555555555555,2.7055981663780924,478.6666666666667,67.69525137573189,5.666666666666667,0.8401680504168059,18.11111111111111,0.9002541398626663,0,0.0,8,0.9701425001453319,0,0.0,0,0.0,19.333333333333332,1.6803361008336117,19.333333333333332,1.6803361008336117,451.72222222222223,22.733896836210835,0,0.0,0,0.0,0,0.0,0,0.0,15,0.0,0,0.0,8,0.0,8,0.0,332.0,0.0
dfs_sbe,8.666666666666666,2.0579830217101063,19.333333333333332,2.3763541031440183,7.888888888888889,1.0226199851298272,4,3.3606722016672235,0,0.0,0,0.0,12.88888888888889,2.6321292854195817,12.88888888888889,2.6321292854195817,462.77777777777777,65.17537928819038,5.444444444444445,0.8555852638929972,17.88888888888889,0.5829830881301374,0,0.0,7.777777777777778,1.262842524557225,0,0.0,0,0.0,18.666666666666668,1.8786728732554485,18.666666666666668,1.8786728732554485,441.3888888888889,29.55730006154325,0,0.0,0,0.0,0,0.0,0,0.0,14.6,0.5026246899500346,0,0.0,7.6,0.5026246899500346,7.6,0.5026246899500346,322.4,12.06299255880083
dfs_r,12.716666666666667,1.9895677641809932,16.655555555555555,2.6027965669570445,6.727777777777778,1.9341984194390185,8.933333333333334,2.350799222230649,0,0.0,0,0.0,21.233333333333334,3.0655774925988237,21.233333333333334,3.0655774925988237,566.1638888888889,42.25279173466601,9.172222222222222,1.916790134473554,17.366666666666667,2.298651535722969,0,0.0,9.894444444444444,1.6729768811735057,0,0.0,0,0.0,26.344444444444445,3.833580268947108,26.344444444444445,3.833580268947108,524.9583333333334,39.58245319025413,0,0.0,0,0.0,0,0.0,0,0.0,10.025,1.7491922040856946,6.665,1.9575328026285623,8,0.0,8,0.0,432.45,36.5510244307143
dfs_re,12.833333333333334,2.213468170266318,16.405555555555555,2.4373656037373244,6.438888888888889,1.7724265754154618,8.555555555555555,2.3067116603613846,0,0.0,0,0.0,20.31111111111111,3.180402435603051,20.31111111111111,3.180402435603051,550.6777777777778,43.208136720217674,8.527777777777779,1.6045694372114354,17.38888888888889,2.4775841740575957,0,0.0,8.96111111111111,1.8531684746418982,0,0.0,0,0.0,24.533333333333335,3.3231875389442607,24.533333333333335,3.3231875389442607,497.6138888888889,38.63414671058006,0,0.0,0,0.0,0,0.0,0,0.0,9.425,1.9630698449317594,6.58,2.1972115723041643,7.43,0.7469199737831229,7.43,0.7469199737831229,415.62,44.978784501989175
