,single_y,,,,,,,,,,,,,,,,single_n,,,,,,,,,,,,,,,,double,,,,,,,,,,,,,,,
,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,
direct,3.5,0.8944271909999159,7.5,1.7126976771553504,1.25,0.8563488385776752,1.75,0.4472135954999579,0,0.0,0,0.0,5.5,1.1547005383792515,5.5,1.1547005383792515,3.25,1.1254628677422756,9,2.309401076758503,0,0.0,2.25,0.4472135954999579,0,0.0,0,0.0,10.5,2.3664319132398464,10.5,2.3664319132398464,0,0.0,0,0.0,0,0.0,0,0.0,5.25,0.8563488385776752,1.5,0.5163977794943222,4,0.7302967433402214,4,0.7302967433402214
zigZag,3.5,0.8944271909999159,6.5,1.7126976771553504,2.25,0.4472135954999579,2.75,0.4472135954999579,0,0.0,0,0.0,5.75,0.8563488385776752,5.75,0.8563488385776752,2.75,0.8563488385776752,7,1.4605934866804429,0,0.0,3.25,0.4472135954999579,0,0.0,0,0.0,9.5,1.8618986725025255,9.5,1.8618986725025255,0,0.0,0,0.0,0,0.0,0,0.0,4.5,1.1547005383792515,2.5,0.5163977794943222,4,0.7302967433402214,4,0.7302967433402214
directZigZag,4,0.0,8,1.4605934866804429,1.5,0.5163977794943222,2.25,0.8563488385776752,0,0.0,0,0.0,6.5,0.5163977794943222,6.5,0.5163977794943222,2.5,0.5163977794943222,7.5,0.8944271909999159,0,0.0,2.75,0.4472135954999579,0,0.0,0,0.0,10,1.632993161855452,10,1.632993161855452,0,0.0,0,0.0,0,0.0,0,0.0,4.75,1.1254628677422756,2,0.7302967433402214,5,0.7302967433402214,5,0.7302967433402214
dfs_s,5.5,0.5163977794943222,13.5,2.1291625896895083,5.25,0.8563488385776752,3.25,1.3416407864998738,0,0.0,0,0.0,9,1.0327955589886444,9,1.0327955589886444,4.5,1.5491933384829668,13.5,1.5491933384829668,0,0.0,4.5,1.5491933384829668,0,0.0,0,0.0,15,3.0983866769659336,15,3.0983866769659336,0,0.0,0,0.0,0,0.0,0,0.0,9.25,0.8563488385776752,3.5,1.1547005383792515,6,0.0,6,0.0
dfs_se,5.25,0.4472135954999579,12.75,1.983263304085802,5.25,0.8563488385776752,3.25,1.3416407864998738,0,0.0,0,0.0,8,1.4605934866804429,8,1.4605934866804429,4.25,1.6931233465600393,12.75,1.3416407864998738,0,0.0,4.5,1.5491933384829668,0,0.0,0,0.0,14,3.8643671323171835,14,3.8643671323171835,0,0.0,0,0.0,0,0.0,0,0.0,9,0.7302967433402214,3.25,1.3416407864998738,5.5,0.8944271909999159,5.5,0.8944271909999159
dfs_sb,5.5,0.5163977794943222,13.5,2.1291625896895083,5.25,0.8563488385776752,3.25,1.3416407864998738,0,0.0,0,0.0,9,1.0327955589886444,9,1.0327955589886444,2.75,0.4472135954999579,11.25,2.1134489978863145,0,0.0,5,0.7302967433402214,0,0.0,0,0.0,11.5,0.8944271909999159,11.5,0.8944271909999159,0,0.0,0,0.0,0,0.0,0,0.0,10.5,0.5163977794943222,1.25,0.4472135954999579,6,0.0,6,0.0
dfs_sbe,5.25,0.4472135954999579,12.75,1.983263304085802,5.25,0.8563488385776752,3.25,1.3416407864998738,0,0.0,0,0.0,8,1.4605934866804429,8,1.4605934866804429,2.75,0.4472135954999579,11.25,2.1134489978863145,0,0.0,4.75,1.1254628677422756,0,0.0,0,0.0,11.25,0.8563488385776752,11.25,0.8563488385776752,0,0.0,0,0.0,0,0.0,0,0.0,10.25,0.4472135954999579,1.25,0.4472135954999579,5.5,0.8944271909999159,5.5,0.8944271909999159
dfs_r,7.63125,1.460687677282874,12.575,2.072734043502528,5.0125,1.405235046030092,4.36875,1.390090151368183,0,0.0,0,0.0,11.6125,2.3256499733928444,11.6125,2.3256499733928444,5.2,1.8216034128510772,12.04375,2.3534983328049592,0,0.0,5.94375,1.3701529777327557,0,0.0,0,0.0,16.4,3.6432068257021544,16.4,3.6432068257021544,0,0.0,0,0.0,0,0.0,0,0.0,7.51875,1.4096338567382996,4.59375,1.4933684646024847,6,0.0,6,0.0
dfs_re,7.48125,1.4578862746926138,12.10625,1.9638137552753838,5.025,1.3641870433735164,4.55625,1.4740816350075958,0,0.0,0,0.0,11.33125,2.1854921153286098,11.33125,2.1854921153286098,4.925,1.8345050572379042,11.71875,2.4447913442625593,0,0.0,5.8,1.4266114137305097,0,0.0,0,0.0,15.64375,3.7456001442027382,15.64375,3.7456001442027382,0,0.0,0,0.0,0,0.0,0,0.0,7.61875,1.413643648441811,4.3,1.4828156117214237,5.75,0.6039700938074968,5.75,0.6039700938074968
