,single_y,,,,,,,,,,,,,,,,single_n,,,,,,,,,,,,,,,,double,,,,,,,,,,,,,,,
,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,
dfs_s,27.94495412844037,4.866428575578773,64.76146788990826,3.6764996501020013,26.788990825688074,3.6134353063086677,27.779816513761467,2.719469577111662,0,0.0,0,0.0,62.75229357798165,1.8716004406149909,62.75229357798165,1.8716004406149909,32.75229357798165,4.168124107998777,65.18348623853211,3.4511542288606782,0,0.0,38.642201834862384,3.0261910290116645,0,0.0,0,0.0,119.44036697247707,8.344915498607465,119.44036697247707,8.344915498607465,0,0.0,0,0.0,0,0.0,0,0.0,43.75,3.2368931828958267,27.642857142857142,2.456310654917662,53.919642857142854,0.2730670926084596,53.919642857142854,0.2730670926084596
dfs_se,27.229357798165136,4.911500162172178,63.34862385321101,3.9939216474189942,26.788990825688074,3.6134353063086677,26.192660550458715,3.667871176451053,0,0.0,0,0.0,59.69724770642202,4.6854870238894435,59.69724770642202,4.6854870238894435,32.06422018348624,4.355233610602557,63.862385321100916,4.237110934631654,0,0.0,36.91743119266055,3.8033329447048505,0,0.0,0,0.0,115.21100917431193,10.692740176898333,115.21100917431193,10.692740176898333,0,0.0,0,0.0,0,0.0,0,0.0,42.794642857142854,3.364195131128526,26.017857142857142,3.616733240198858,51.089285714285715,3.9605113224999036,51.089285714285715,3.9605113224999036
dfs_sb,27.94495412844037,4.866428575578773,64.76146788990826,3.6764996501020013,26.788990825688074,3.6134353063086677,27.779816513761467,2.719469577111662,0,0.0,0,0.0,62.75229357798165,1.8716004406149909,62.75229357798165,1.8716004406149909,20.339449541284402,3.1097820082176253,65.63302752293578,3.900760966735317,0,0.0,33.440366972477065,3.104450785388469,0,0.0,0,0.0,94.3302752293578,6.315845806927267,94.3302752293578,6.315845806927267,0,0.0,0,0.0,0,0.0,0,0.0,51.205357142857146,3.108078381034047,17.491071428571427,2.118113795079492,53.589285714285715,0.5293812711501326,53.589285714285715,0.5293812711501326
dfs_sbe,27.229357798165136,4.911500162172178,63.34862385321101,3.9939216474189942,26.788990825688074,3.6134353063086677,26.192660550458715,3.667871176451053,0,0.0,0,0.0,59.69724770642202,4.6854870238894435,59.69724770642202,4.6854870238894435,19.73394495412844,3.2393477905363923,64.4862385321101,4.063420104121109,0,0.0,32.79816513761468,3.2483038779628015,0,0.0,0,0.0,91.55963302752293,7.33008917213779,91.55963302752293,7.33008917213779,0,0.0,0,0.0,0,0.0,0,0.0,50.17857142857143,3.261056827853761,16.098214285714285,2.724463155412362,50.8125,3.3705968942345246,50.8125,3.3705968942345246
dfs_r,40.762385321100915,5.22456739815422,63.3,4.412905774400511,22.544954128440367,3.8083443794507894,30.418348623853213,3.7270550598579812,0,0.0,0,0.0,78.58807339449541,5.472868630857404,78.58807339449541,5.472868630857404,31.261467889908257,3.9158365161352675,63.575229357798165,4.536995279263499,0,0.0,36.85321100917431,3.6090532223903007,0,0.0,0,0.0,116.20366972477065,7.846014898648104,116.20366972477065,7.846014898648104,0,0.0,0,0.0,0,0.0,0,0.0,42.299107142857146,3.9206607825123947,28.48125,3.261551445005617,53.574107142857144,0.5992616153192583,53.574107142857144,0.5992616153192583
dfs_re,40.45229357798165,4.957859077817351,62.66146788990826,4.371424200661251,22.340366972477064,3.7788648935325817,29.81192660550459,3.643231513694525,0,0.0,0,0.0,77.52568807339449,5.586927278314314,77.52568807339449,5.586927278314314,30.85137614678899,4.162220540869436,63.02477064220184,4.6769201791784285,0,0.0,36.0256880733945,3.6526504878959214,0,0.0,0,0.0,114.12293577981652,8.70913132387159,114.12293577981652,8.70913132387159,0,0.0,0,0.0,0,0.0,0,0.0,41.20446428571429,3.998902628579617,28.175892857142856,3.390090841473592,52.22767857142857,1.8875780293953532,52.22767857142857,1.8875780293953532
dfs_rb,31.641284403669726,4.916076418026277,62.7091743119266,4.04006658075503,24.411009174311925,4.2871953508139375,28.828440366972476,3.2514626713017254,0,0.0,0,0.0,62.607339449541286,2.3386286400130962,62.607339449541286,2.3386286400130962,20.524770642201833,2.8948247404506557,63.85229357798165,4.38852532341831,0,0.0,34.6,3.3738039066807985,0,0.0,0,0.0,94.7,5.833069651655567,94.7,5.833069651655567,0,0.0,0,0.0,0,0.0,0,0.0,51.78303571428572,3.3159885213329137,15.957142857142857,2.2691825239952412,53.54553571428571,0.5976403395758344,53.54553571428571,0.5976403395758344
dfs_rbe,31.51834862385321,4.8670226130749255,61.81376146788991,4.191599625178633,24.233027522935778,4.194404752730533,28.18440366972477,3.379288570373918,0,0.0,0,0.0,61.07339449541284,3.0157420527782697,61.07339449541284,3.0157420527782697,20.058715596330273,3.022754568394243,62.81834862385321,4.515663284757472,0,0.0,34.16788990825688,3.3569789627675237,0,0.0,0,0.0,92.51467889908257,6.560607119995343,92.51467889908257,6.560607119995343,0,0.0,0,0.0,0,0.0,0,0.0,50.89732142857143,3.462191029408389,15.173214285714286,2.6344789583713446,51.72410714285714,2.576401656074854,51.72410714285714,2.576401656074854
dfsLook_s,39.00917431192661,2.964279354194605,74.91743119266054,4.2733637552370345,15.605504587155963,4.107397005367388,34.42201834862385,3.876074708749608,0,0.0,0,0.0,94.6788990825688,3.1236277993080837,94.6788990825688,3.1236277993080837,40.862385321100916,4.3407370297294,78.12844036697248,4.0668053651921205,0,0.0,37.37614678899082,3.9200080093117537,0,0.0,0,0.0,151.4678899082569,9.115075838594166,151.4678899082569,9.115075838594166,0,0.0,0,0.0,0,0.0,0,0.0,52.55357142857143,4.248665472964222,31.205357142857142,3.318358415542627,69.72321428571429,2.054263075289234,69.72321428571429,2.054263075289234
