,single_y,,,,,,,,,,,,,,,,single_n,,,,,,,,,,,,,,,,double,,,,,,,,,,,,,,,
,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,
dfs_s,20.140350877192983,2.2633618839115983,39.80701754385965,3.0789527236849086,15.701754385964913,1.9727148831052759,15.75438596491228,3.1751304908751723,0,0.0,0,0.0,36.1578947368421,2.2021862001543773,36.1578947368421,2.2021862001543773,20.24561403508772,3.2198086775147834,41.21052631578947,3.68751194722163,0,0.0,20.964912280701753,2.5701925461550106,0,0.0,0,0.0,68.42105263157895,6.477839610166154,68.42105263157895,6.477839610166154,0,0.0,0,0.0,0,0.0,0,0.0,26.283333333333335,2.7064998139548897,14.866666666666667,2.6519367190002705,27.916666666666668,0.27871780678530217,27.916666666666668,0.27871780678530217
dfs_se,19.63157894736842,2.2490599540011664,38.70175438596491,3.590487990513972,15.701754385964913,1.9727148831052759,14.824561403508772,3.295683361922856,0,0.0,0,0.0,34.03508771929825,2.9878618267482433,34.03508771929825,2.9878618267482433,19.68421052631579,3.2357263190866554,40.14035087719298,3.9389927850150985,0,0.0,19.982456140350877,2.5529480722586433,0,0.0,0,0.0,65.45614035087719,7.282734414447533,65.45614035087719,7.282734414447533,0,0.0,0,0.0,0,0.0,0,0.0,25.6,2.906451036422022,13.833333333333334,2.8532863399688977,26.05,2.189535977464214,26.05,2.189535977464214
dfs_sb,20.140350877192983,2.2633618839115983,39.80701754385965,3.0789527236849086,15.701754385964913,1.9727148831052759,15.75438596491228,3.1751304908751723,0,0.0,0,0.0,36.1578947368421,2.2021862001543773,36.1578947368421,2.2021862001543773,12.666666666666666,2.4519185879438905,41.80701754385965,3.8333060912184447,0,0.0,18.12280701754386,2.686408751465397,0,0.0,0,0.0,53.19298245614035,4.990843746628234,53.19298245614035,4.990843746628234,0,0.0,0,0.0,0,0.0,0,0.0,31.9,2.064223086091361,7.116666666666666,1.508076186838959,27.95,0.21978417765108277,27.95,0.21978417765108277
dfs_sbe,19.63157894736842,2.2490599540011664,38.70175438596491,3.590487990513972,15.701754385964913,1.9727148831052759,14.824561403508772,3.295683361922856,0,0.0,0,0.0,34.03508771929825,2.9878618267482433,34.03508771929825,2.9878618267482433,12.157894736842104,2.4697416990751027,40.89473684210526,3.7875935185357648,0,0.0,17.57894736842105,2.9334728834428887,0,0.0,0,0.0,50.98245614035088,5.591738894087341,50.98245614035088,5.591738894087341,0,0.0,0,0.0,0,0.0,0,0.0,30.916666666666668,2.24960762429292,6.383333333333334,2.0007766853481597,26.05,2.3823147837373546,26.05,2.3823147837373546
dfs_r,24.9140350877193,3.537593166514765,37.56140350877193,3.475333840456751,13.791228070175439,2.8814161660339925,18.803508771929824,3.0032182452445357,0,0.0,0,0.0,46.02105263157895,4.419510062075795,46.02105263157895,4.419510062075795,19.03684210526316,2.8765540052549787,38.8859649122807,3.9994700262482374,0,0.0,21.671929824561403,2.91461708536361,0,0.0,0,0.0,65.98947368421052,5.780388764983736,65.98947368421052,5.780388764983736,0,0.0,0,0.0,0,0.0,0,0.0,24.025,2.8742785986117276,16.875,2.7746843283281404,27.855,0.35239462247587794,27.855,0.35239462247587794
dfs_re,24.34561403508772,3.494136196455553,36.61052631578947,3.3703808700685203,14.035087719298245,2.7372642448062288,18.443859649122807,3.0475734415840967,0,0.0,0,0.0,44.666666666666664,4.664239053903917,44.666666666666664,4.664239053903917,18.66140350877193,3.0449620950463183,37.69649122807017,3.8373094389365305,0,0.0,21.410526315789475,2.857462355116084,0,0.0,0,0.0,64.1,6.4621787312257,64.1,6.4621787312257,0,0.0,0,0.0,0,0.0,0,0.0,23.576666666666668,3.0413053314469045,16.348333333333333,2.945299396742144,26.61,1.5324753835985618,26.61,1.5324753835985618
dfs_rb,20.263157894736842,2.8360367144442438,37.22631578947368,3.6805204375146334,14.675438596491228,2.550356169464634,17.4,3.4398675741870877,0,0.0,0,0.0,36.13333333333333,2.3920881108708953,36.13333333333333,2.3920881108708953,12.4,2.1346583465722353,39.617543859649125,3.948398389764436,0,0.0,19.5,2.7593904219734355,0,0.0,0,0.0,52.67719298245614,4.349535560680448,52.67719298245614,4.349535560680448,0,0.0,0,0.0,0,0.0,0,0.0,31.28,2.2862585805551254,7.243333333333333,1.624352103192983,27.891666666666666,0.3110602616313531,27.891666666666666,0.3110602616313531
dfs_rbe,19.724561403508773,2.9707881057022916,36.66140350877193,3.850832625641918,14.878947368421052,2.624960412596648,16.685964912280703,3.4449697719826067,0,0.0,0,0.0,34.73859649122807,2.589708873851609,34.73859649122807,2.589708873851609,12.056140350877193,1.9974515876340733,39.10701754385965,3.735186777567095,0,0.0,18.866666666666667,2.8389293096294645,0,0.0,0,0.0,50.90526315789474,4.650695699894412,50.90526315789474,4.650695699894412,0,0.0,0,0.0,0,0.0,0,0.0,30.523333333333333,2.3746270538684233,6.661666666666667,1.8689619900958196,26.323333333333334,1.9913306820727934,26.323333333333334,1.9913306820727934
dfsLook_s,24.385964912280702,3.3581158937549676,42.87719298245614,3.3223817588258044,7.315789473684211,2.522455540715677,21.105263157894736,3.3364020961761223,0,0.0,0,0.0,53,3.3220045583524245,53,3.3220045583524245,23.912280701754387,2.941578182798102,44.24561403508772,2.613704963090749,0,0.0,23.280701754385966,2.704192419485716,0,0.0,0,0.0,83.47368421052632,6.8533236544600715,83.47368421052632,6.8533236544600715,0,0.0,0,0.0,0,0.0,0,0.0,28.416666666666668,2.586088379646881,18.583333333333332,2.8599612813941113,35.61666666666667,2.091886397624157,35.61666666666667,2.091886397624157
