,single_y,,,,,,,,,,,,,,,,,,single_n,,,,,,,,,,,,,,,,,,double,,,,,,,,,,,,,,,,,
,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,
dfs_s,9.88888888888889,1.7614096918559585,21.555555555555557,1.9281983087713561,8.518518518518519,1.3117917978085245,6.407407407407407,1.6233692233523571,0,0.0,0,0.0,16.444444444444443,1.281025230440697,16.444444444444443,1.281025230440697,557.7962962962963,30.688340074435708,9.37037037037037,1.4973861366278378,21.48148148148148,2.8738927014172364,0,0.0,9.481481481481481,1.6494840771579824,0,0.0,0,0.0,30.74074074074074,2.9947722732556756,30.74074074074074,2.9947722732556756,581.4629629629629,31.82491945905753,0,0.0,0,0.0,0,0.0,0,0.0,14.178571428571429,1.2187902754164621,6.428571428571429,1.3991683092723182,12,0.0,12,0.0,524.4285714285714,32.57063955231092
dfs_se,9.481481481481481,1.695477476890765,20.51851851851852,2.0071098695612126,8.518518518518519,1.3117917978085245,5.888888888888889,1.7831116564834573,0,0.0,0,0.0,14.703703703703704,2.250039569136077,14.703703703703704,2.250039569136077,527.8518518518518,47.17190632610417,9,1.901416476047427,20.88888888888889,2.9785558366085523,0,0.0,8.851851851851851,1.7910826915520144,0,0.0,0,0.0,28.85185185185185,4.841357912687972,28.85185185185185,4.841357912687972,554.0185185185185,59.266750550352604,0,0.0,0,0.0,0,0.0,0,0.0,13.821428571428571,1.2187902754164621,5.714285714285714,1.6297498753135882,10.857142857142858,1.508354161041854,10.857142857142858,1.508354161041854,491.2857142857143,52.64335429399186
dfs_sb,9.88888888888889,1.7614096918559585,21.555555555555557,1.9281983087713561,8.518518518518519,1.3117917978085245,6.407407407407407,1.6233692233523571,0,0.0,0,0.0,16.444444444444443,1.281025230440697,16.444444444444443,1.281025230440697,557.7962962962963,30.688340074435708,5.592592592592593,0.9306432539361504,21.296296296296298,2.812264551714847,0,0.0,8.25925925925926,2.04925113137219,0,0.0,0,0.0,23.185185185185187,1.8612865078723009,23.185185185185187,1.8612865078723009,506.4259259259259,26.63561225982689,0,0.0,0,0.0,0,0.0,0,0.0,16.428571428571427,1.0690449676496976,3.142857142857143,0.7052336473499384,12,0.0,12,0.0,470.85714285714283,15.836465855538943
dfs_sbe,9.481481481481481,1.695477476890765,20.51851851851852,2.0071098695612126,8.518518518518519,1.3117917978085245,5.888888888888889,1.7831116564834573,0,0.0,0,0.0,14.703703703703704,2.250039569136077,14.703703703703704,2.250039569136077,527.8518518518518,47.17190632610417,5.333333333333333,0.9607689228305227,20.703703703703702,2.757016431060867,0,0.0,7.925925925925926,2.251938070024367,0,0.0,0,0.0,22.037037037037038,2.3118670690005825,22.037037037037038,2.3118670690005825,487.8888888888889,38.50158171909038,0,0.0,0,0.0,0,0.0,0,0.0,15.892857142857142,1.196887497862553,2.75,1.075828707279838,10.964285714285714,1.3466595945123117,10.964285714285714,1.3466595945123117,444.2142857142857,42.80996521480859
dfs_r,12.64074074074074,2.3105961282428287,20.21851851851852,2.8271831104129936,7.711111111111111,1.9178933093299895,8.281481481481482,1.9034379065175877,0,0.0,0,0.0,21.325925925925926,3.4755216872018084,21.325925925925926,3.4755216872018084,603.4092592592592,42.28464030993658,9.274074074074074,1.9431688741082291,20.103703703703705,2.903078929770415,0,0.0,10.381481481481481,1.691557219485447,0,0.0,0,0.0,30.548148148148147,3.8863377482164583,30.548148148148147,3.8863377482164583,581.2074074074075,46.930340103708595,0,0.0,0,0.0,0,0.0,0,0.0,12.239285714285714,1.8558904162345289,8.071428571428571,1.8204054735332007,12,0.0,12,0.0,534.9285714285714,35.25425170365759
dfs_re,12.477777777777778,2.5530553651743633,19.840740740740742,2.6055073583171477,7.725925925925926,1.7939577630086994,7.925925925925926,1.8030524701477815,0,0.0,0,0.0,20.451851851851853,3.6291232538112337,20.451851851851853,3.6291232538112337,588.6092592592593,47.459375186885474,8.814814814814815,2.0338590608332745,19.31851851851852,2.6636806909004433,0,0.0,10.125925925925927,1.8550829584136455,0,0.0,0,0.0,28.977777777777778,4.238198864595811,28.977777777777778,4.238198864595811,559.162962962963,51.0296520560128,0,0.0,0,0.0,0,0.0,0,0.0,11.925,1.8640390492317838,7.560714285714286,1.9073221081316984,11.346428571428572,1.0598512585359203,11.346428571428572,1.0598512585359203,510.70714285714286,47.16538376287457
dfs_rb,10.196296296296296,1.7380460510155982,19.855555555555554,2.5501415272823125,8.225925925925926,1.7106907651942493,7.333333333333333,1.7523218797527533,0,0.0,0,0.0,16.266666666666666,1.5861857174087541,16.266666666666666,1.5861857174087541,553.8166666666667,30.943687611110246,5.4,1.1897955214656122,19.433333333333334,2.844351344769261,0,0.0,9.337037037037037,1.786285662212135,0,0.0,0,0.0,22.8,2.3795910429312244,22.8,2.3795910429312244,502.73333333333335,34.06566477743572,0,0.0,0,0.0,0,0.0,0,0.0,16.103571428571428,1.170112313592542,3.039285714285714,0.8133471203283634,12,0.0,12,0.0,461.25,20.803096336947082
dfs_rbe,9.966666666666667,1.6368207464880902,19.22962962962963,2.534346196356171,8.3,1.5141218761255917,7.0777777777777775,1.7915193305605148,0,0.0,0,0.0,15.333333333333334,1.9125879234837184,15.333333333333334,1.9125879234837184,538.075925925926,38.744309740187184,5.366666666666666,1.1418044806878973,18.918518518518518,2.794183687782253,0,0.0,9.274074074074074,1.9103693939284185,0,0.0,0,0.0,22.21851851851852,2.5637648079264426,22.21851851851852,2.5637648079264426,493.4277777777778,39.59212783018156,0,0.0,0,0.0,0,0.0,0,0.0,15.532142857142857,1.3167118738471826,2.664285714285714,1.05823762524292,11.032142857142857,1.3180722241671128,11.032142857142857,1.3180722241671128,434.7,42.04890479269624
dfsLook_s,12.37037037037037,2.02195922024137,23.25925925925926,1.9333628055519578,3.4074074074074074,1.6233692233523571,10.37037037037037,2.07824164116888,0,0.0,0,0.0,27.14814814814815,1.6572382889731778,27.14814814814815,1.6572382889731778,653.2222222222222,39.79184622056415,12.037037037037036,2.0471646711691736,24.666666666666668,2.4806946917841692,0,0.0,11.148148148148149,2.143033502442879,0,0.0,0,0.0,40.55555555555556,4.774397532136573,40.55555555555556,4.774397532136573,700.425925925926,47.96006024722424,0,0.0,0,0.0,0,0.0,0,0.0,15.178571428571429,1.7008401285415224,8.464285714285714,1.6438920136009398,16.464285714285715,1.0708993401928104,16.464285714285715,1.0708993401928104,623.3571428571429,43.342062612829025
