,single_y,,,,,,,,,,,,,,,,,,single_n,,,,,,,,,,,,,,,,,,double,,,,,,,,,,,,,,,,,
,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,
dfs_s,51.859030837004404,4.944599712130818,95.17180616740089,7.599574848224544,35.5726872246696,5.14289210532833,57.81057268722467,6.758427916362402,0,0.0,0,0.0,117.65638766519824,2.021125417990039,117.65638766519824,2.021125417990039,3199.057268722467,77.68200881408816,55.22907488986784,5.311570316665305,97.08370044052863,7.528532655522276,0,0.0,70.18502202643172,6.573017071993365,0,0.0,0,0.0,221.22907488986783,10.457687206393011,221.22907488986783,10.457687206393011,3519.9273127753304,101.18561649377222,0,0.0,0,0.0,0,0.0,0,0.0,66.94298245614036,6.6538911711683815,57.69298245614035,6.8657705439875025,110.55263157894737,1.011755618689572,110.55263157894737,1.011755618689572,3511.8596491228072,120.46904493496054
dfs_se,48.47577092511013,5.929010998161418,90.0352422907489,8.00379281265689,35.5726872246696,5.14289210532833,52.158590308370044,8.65675109939617,0,0.0,0,0.0,106.85022026431719,9.792291416732194,106.85022026431719,9.792291416732194,2978.986784140969,216.36261925390198,51.83700440528634,5.50420963718398,91.98237885462555,8.062238406380748,0,0.0,64.31277533039648,8.295641501847602,0,0.0,0,0.0,203.70044052863437,17.531467278520047,203.70044052863437,17.531467278520047,3269.34140969163,234.98715640621742,0,0.0,0,0.0,0,0.0,0,0.0,63.03508771929825,6.579811366096813,52.00438596491228,8.802031106720698,99.74561403508773,9.613052253582653,99.74561403508773,9.613052253582653,3219.815789473684,286.4536639664686
dfs_sb,51.859030837004404,4.944599712130818,95.17180616740089,7.599574848224544,35.5726872246696,5.14289210532833,57.81057268722467,6.758427916362402,0,0.0,0,0.0,117.65638766519824,2.021125417990039,117.65638766519824,2.021125417990039,3199.057268722467,77.68200881408816,31.75770925110132,4.217365075562911,107.53744493392071,6.745182390280414,0,0.0,52.59911894273128,5.6122967960094545,0,0.0,0,0.0,173.25991189427313,8.664255019126042,173.25991189427313,8.664255019126042,2997.4030837004407,95.41630646341999,0,0.0,0,0.0,0,0.0,0,0.0,94.11842105263158,5.869281876229709,21.864035087719298,3.1642169819555024,109.19298245614036,1.0855656312627822,109.19298245614036,1.0855656312627822,2975.061403508772,123.2052680010872
dfs_sbe,48.47577092511013,5.929010998161418,90.0352422907489,8.00379281265689,35.5726872246696,5.14289210532833,52.158590308370044,8.65675109939617,0,0.0,0,0.0,106.85022026431719,9.792291416732194,106.85022026431719,9.792291416732194,2978.986784140969,216.36261925390198,30.330396475770925,4.281169028336894,104.25550660792952,7.345813513850312,0,0.0,51.38766519823788,5.79131385835683,0,0.0,0,0.0,166.24669603524228,10.98917106193345,166.24669603524228,10.98917106193345,2903.5925110132157,137.27804382110173,0,0.0,0,0.0,0,0.0,0,0.0,91.21929824561404,6.427170809578933,20.25877192982456,3.812645581038116,104.08333333333333,6.03127555954655,104.08333333333333,6.03127555954655,2848.4824561403507,191.33059391176317
dfs_r,64.85726872246696,6.08887298297209,103.41894273127754,5.977576191702914,30.483700440528633,4.629360803907416,49.61850220264317,5.286403846370735,0,0.0,0,0.0,140.62290748898678,6.668608793411477,140.62290748898678,6.668608793411477,3254.7850220264318,84.02406733735431,50.82466960352423,5.49498824111863,105.7114537444934,6.295639959882579,0,0.0,57.3568281938326,5.448220510106941,0,0.0,0,0.0,211.27136563876653,11.095737844348069,211.27136563876653,11.095737844348069,3319.8700440528632,109.01550438005712,0,0.0,0,0.0,0,0.0,0,0.0,72.50657894736842,6.3353657233442675,48.18157894736842,5.186340208145297,108.7232456140351,1.2596913442507367,108.7232456140351,1.2596913442507367,3330.4719298245614,125.83757161086685
dfs_re,63.80484581497797,6.415554681157137,100.81189427312775,6.642633740631438,30.406607929515417,4.720560734197093,48.26387665198238,5.59563427246437,0,0.0,0,0.0,136.68678414096917,7.95714345774616,136.68678414096917,7.95714345774616,3179.420484581498,119.36011984557122,49.42643171806167,5.470108447222884,102.98237885462555,7.008440895638142,0,0.0,55.91101321585903,5.533105807846992,0,0.0,0,0.0,204.5251101321586,12.851116613078347,204.5251101321586,12.851116613078347,3229.1502202643173,141.8875599607414,0,0.0,0,0.0,0,0.0,0,0.0,70.7,6.5794099557930545,46.752631578947366,5.363671381947022,105.00701754385965,4.589793880207468,105.00701754385965,4.589793880207468,3236.6070175438595,162.60396395873636
dfs_rb,55.11101321585903,5.822935483238533,103.39515418502202,6.418713918159237,31.259030837004406,4.744586573002764,47.495154185022024,5.644509522195813,0,0.0,0,0.0,116.59162995594714,2.4863169815470822,116.59162995594714,2.4863169815470822,3074.326872246696,68.61944179551679,33.04052863436123,4.295921962922505,106.16211453744494,6.391182977716923,0,0.0,54.43171806167401,5.704989052395316,0,0.0,0,0.0,175.66079295154185,8.714784593069888,175.66079295154185,8.714784593069888,3031.9202643171807,96.02471073514317,0,0.0,0,0.0,0,0.0,0,0.0,91.32719298245614,6.417530087529578,23.683333333333334,3.1785651308052203,108.79385964912281,1.1918094832096344,108.79385964912281,1.1918094832096344,2972.219298245614,128.86311255545598
dfs_rbe,54.04757709251101,6.101133190772909,101.09515418502203,6.969537908531338,31.21013215859031,4.713322685342303,45.882819383259914,5.764315919080189,0,0.0,0,0.0,112.68810572687225,5.280379327436192,112.68810572687225,5.280379327436192,2998.0528634361235,110.63470907689286,31.8079295154185,4.448335081987482,103.36828193832599,6.949421132475108,0,0.0,53.233039647577094,6.003661363638986,0,0.0,0,0.0,169.53259911894273,11.131195818332133,169.53259911894273,11.131195818332133,2948.3198237885463,133.63082900650198,0,0.0,0,0.0,0,0.0,0,0.0,88.97894736842105,7.0305853929066435,22.70657894736842,3.3722339722989165,104.74035087719298,5.202367559351882,104.74035087719298,5.202367559351882,2879.737719298246,172.25893440101814
dfsLook_s,61.63436123348018,5.382145171555116,117.431718061674,6.086286496574832,21.431718061674008,4.805827781300729,51.34361233480176,4.701345240491242,0,0.0,0,0.0,156.84140969162996,4.813463211916346,156.84140969162996,4.813463211916346,3396.6057268722466,92.18306052889405,64.60352422907489,6.457593862910873,118.49779735682819,6.038500699852313,0,0.0,55.04405286343612,4.821393820138997,0,0.0,0,0.0,252.00881057268722,13.846820404145728,252.00881057268722,13.846820404145728,3657.623348017621,131.9886282688058,0,0.0,0,0.0,0,0.0,0,0.0,83.14035087719299,5.8133632974281495,47.50438596491228,3.9260766160211684,122.80701754385964,2.9915510776035767,122.80701754385964,2.9915510776035767,3579.1666666666665,115.42890076012229
