,single_y,,,,,,,,,,,,,,,,,,single_n,,,,,,,,,,,,,,,,,,double,,,,,,,,,,,,,,,,,
,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,
direct,3.5,0.8944271909999159,7.5,1.7126976771553504,1.25,0.8563488385776752,1.75,0.4472135954999579,0,0.0,0,0.0,5.5,1.1547005383792515,5.5,1.1547005383792515,167.75,22.98260211551338,3.25,1.1254628677422756,9,2.309401076758503,0,0.0,2.25,0.4472135954999579,0,0.0,0,0.0,10.5,2.3664319132398464,10.5,2.3664319132398464,199.375,35.07777073874564,0,0.0,0,0.0,0,0.0,0,0.0,5.25,0.8563488385776752,1.5,0.5163977794943222,4,0.7302967433402214,4,0.7302967433402214,166.0,20.60420669022065
zigZag,3.5,0.8944271909999159,6.5,1.7126976771553504,2.25,0.4472135954999579,2.75,0.4472135954999579,0,0.0,0,0.0,5.75,0.8563488385776752,5.75,0.8563488385776752,185.75,21.17073451725282,2.75,0.8563488385776752,7,1.4605934866804429,0,0.0,3.25,0.4472135954999579,0,0.0,0,0.0,9.5,1.8618986725025255,9.5,1.8618986725025255,188.625,29.34706118165838,0,0.0,0,0.0,0,0.0,0,0.0,4.5,1.1547005383792515,2.5,0.5163977794943222,4,0.7302967433402214,4,0.7302967433402214,181.0,30.16399619855875
directZigZag,4,0.0,8,1.4605934866804429,1.5,0.5163977794943222,2.25,0.8563488385776752,0,0.0,0,0.0,6.5,0.5163977794943222,6.5,0.5163977794943222,191.5,13.416407864998739,2.5,0.5163977794943222,7.5,0.8944271909999159,0,0.0,2.75,0.4472135954999579,0,0.0,0,0.0,10,1.632993161855452,10,1.632993161855452,185.75,19.638397762207248,0,0.0,0,0.0,0,0.0,0,0.0,4.75,1.1254628677422756,2,0.7302967433402214,5,0.7302967433402214,5,0.7302967433402214,175.0,40.96177079505556
dfs_s,5.5,0.5163977794943222,13.5,2.1291625896895083,5.25,0.8563488385776752,3.25,1.3416407864998738,0,0.0,0,0.0,9,1.0327955589886444,9,1.0327955589886444,325.75,8.18535277187245,4.5,1.5491933384829668,13.5,1.5491933384829668,0,0.0,4.5,1.5491933384829668,0,0.0,0,0.0,15,3.0983866769659336,15,3.0983866769659336,314.25,30.954805765825764,0,0.0,0,0.0,0,0.0,0,0.0,9.25,0.8563488385776752,3.5,1.1547005383792515,6,0.0,6,0.0,314.0,26.331223544175334
dfs_se,5.25,0.4472135954999579,12.75,1.983263304085802,5.25,0.8563488385776752,3.25,1.3416407864998738,0,0.0,0,0.0,8,1.4605934866804429,8,1.4605934866804429,312.125,31.66359634238242,4.25,1.6931233465600393,12.75,1.3416407864998738,0,0.0,4.5,1.5491933384829668,0,0.0,0,0.0,14,3.8643671323171835,14,3.8643671323171835,300.625,45.31721527190302,0,0.0,0,0.0,0,0.0,0,0.0,9,0.7302967433402214,3.25,1.3416407864998738,5.5,0.8944271909999159,5.5,0.8944271909999159,299.5,36.961240960407885
dfs_sb,5.5,0.5163977794943222,13.5,2.1291625896895083,5.25,0.8563488385776752,3.25,1.3416407864998738,0,0.0,0,0.0,9,1.0327955589886444,9,1.0327955589886444,325.75,8.18535277187245,2.75,0.4472135954999579,11.25,2.1134489978863145,0,0.0,5,0.7302967433402214,0,0.0,0,0.0,11.5,0.8944271909999159,11.5,0.8944271909999159,274.875,18.69536484443849,0,0.0,0,0.0,0,0.0,0,0.0,10.5,0.5163977794943222,1.25,0.4472135954999579,6,0.0,6,0.0,271.5,11.254628677422755
dfs_sbe,5.25,0.4472135954999579,12.75,1.983263304085802,5.25,0.8563488385776752,3.25,1.3416407864998738,0,0.0,0,0.0,8,1.4605934866804429,8,1.4605934866804429,312.125,31.66359634238242,2.75,0.4472135954999579,11.25,2.1134489978863145,0,0.0,4.75,1.1254628677422756,0,0.0,0,0.0,11.25,0.8563488385776752,11.25,0.8563488385776752,269.375,19.800252523642218,0,0.0,0,0.0,0,0.0,0,0.0,10.25,0.4472135954999579,1.25,0.4472135954999579,5.5,0.8944271909999159,5.5,0.8944271909999159,264.5,15.688637076984518
dfs_r,7.63125,1.460687677282874,12.575,2.072734043502528,5.0125,1.405235046030092,4.36875,1.390090151368183,0,0.0,0,0.0,11.6125,2.3256499733928444,11.6125,2.3256499733928444,355.509375,29.434901623229223,5.2,1.8216034128510772,12.04375,2.3534983328049592,0,0.0,5.94375,1.3701529777327557,0,0.0,0,0.0,16.4,3.6432068257021544,16.4,3.6432068257021544,333.66875,44.81435808144051,0,0.0,0,0.0,0,0.0,0,0.0,7.51875,1.4096338567382996,4.59375,1.4933684646024847,6,0.0,6,0.0,312.1875,28.2814221084794
dfs_re,7.48125,1.4578862746926138,12.10625,1.9638137552753838,5.025,1.3641870433735164,4.55625,1.4740816350075958,0,0.0,0,0.0,11.33125,2.1854921153286098,11.33125,2.1854921153286098,351.903125,29.31403901298347,4.925,1.8345050572379042,11.71875,2.4447913442625593,0,0.0,5.8,1.4266114137305097,0,0.0,0,0.0,15.64375,3.7456001442027382,15.64375,3.7456001442027382,322.96875,46.73906179844373,0,0.0,0,0.0,0,0.0,0,0.0,7.61875,1.413643648441811,4.3,1.4828156117214237,5.75,0.6039700938074968,5.75,0.6039700938074968,304.375,34.99734940547363
dfs_rb,6.41875,1.1463470832257243,12.4,2.1839897712111007,5,1.0093898773656798,3.7875,1.3429878451427837,0,0.0,0,0.0,9.0125,1.1214742094741739,9.0125,1.1214742094741739,325.928125,21.129046958939767,2.5875,0.49382985382447453,9.76875,2.059559319659176,0,0.0,5.91875,1.1269811347078627,0,0.0,0,0.0,11.175,0.9876597076489491,11.175,0.9876597076489491,272.925,19.96956804236742,0,0.0,0,0.0,0,0.0,0,0.0,10.03125,0.7041822502090165,1.23125,0.4229556825885689,6,0.0,6,0.0,261.5625,14.130874133385552
dfs_rbe,6.35,1.0885337203676138,12.45,2.2979345388095997,4.9875,1.170859491862937,3.51875,1.414088478991005,0,0.0,0,0.0,8.5875,1.5636897985737204,8.5875,1.5636897985737204,319.4375,31.41429140379448,2.63125,0.4839808068339568,10.1875,1.8194874528819835,0,0.0,5.63125,1.2007433494277486,0,0.0,0,0.0,11.06875,1.0528301182344828,11.06875,1.0528301182344828,272.171875,22.216703365079837,0,0.0,0,0.0,0,0.0,0,0.0,9.64375,0.8566930348583691,1.2375,0.5318473796307788,5.59375,0.8415086407475744,5.59375,0.8415086407475744,252.375,26.701412112564974
