,single_y,,,,,,,,,,,,,,,,,,single_n,,,,,,,,,,,,,,,,,,double,,,,,,,,,,,,,,,,,
,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,
direct,25.4,4.5377834563519945,27.9,4.883607689009261,16.43,2.3234880010940597,84.39,2.4150530435184066,0,0.0,0,0.0,108.38,3.964200703552371,108.38,3.964200703552371,2563.44,85.0875497815018,25.4,4.515636992009989,29.28,4.933807468917983,0,0.0,85.29,2.3494040197718866,0,0.0,0,0.0,158.8,12.675237833482193,158.8,12.675237833482193,2632.2,115.50388681630669,0,0.0,0,0.0,0,0.0,0,0.0,21.43,6.1055954451100325,84.3,2.371510099151159,108,4.067106266555946,108,4.067106266555946,3389.6,137.5279055756688
zigZag,72.98,4.726038361724461,92.9,4.883607689009261,14.13,2.401565905194459,20.39,2.4150530435184066,0,0.0,0,0.0,109.47,3.9659073429206058,109.47,3.9659073429206058,2369.49,85.10120703372245,85.76,4.5732577793944635,93.26,4.803131810388918,0,0.0,21.29,2.3494040197718866,0,0.0,0,0.0,284.44,12.762193540293133,284.44,12.762193540293133,3018.52,115.7161837772484,0,0.0,0,0.0,0,0.0,0,0.0,69.66,4.475989970446633,20.3,2.371510099151159,109,4.067106266555946,109,4.067106266555946,2438.2,103.88908679880541
directZigZag,16.08,4.618107544572028,100.8,4.880527519867135,3.58,2.2486085923307684,12.49,2.5150972716207787,0,0.0,0,0.0,109.38,3.9184161293060766,109.38,3.9184161293060766,1895.38,85.26447488075986,16.32,4.5375183395446745,101.06,4.851313027958317,0,0.0,13.39,2.4150530435184066,0,0.0,0,0.0,141.64,12.734827819762524,141.64,12.734827819762524,2009.0,115.61235028684054,0,0.0,0,0.0,0,0.0,0,0.0,74.95,23.902213066443956,12.4,2.4402637599335675,109,4.067106266555946,109,4.067106266555946,2307.0,480.0971079716131
dfs_s,45.95,7.996709849747747,94.48,7.964180461671193,84.04,6.682067424282446,147.99,7.48665646751984,0,0.0,0,0.0,202.86,0.970956689163104,202.86,0.970956689163104,5607.665,81.40424991830528,69.9,7.356990776343818,94.78,7.393799475012271,0,0.0,168.31,6.865255226377842,0,0.0,0,0.0,337.47,14.851279448355042,337.47,14.851279448355042,5806.49,89.04590294943502,0,0.0,0,0.0,0,0.0,0,0.0,67.97,6.727722916343816,148.38,7.564300801563973,197.64,0.4806011273488885,197.64,0.4806011273488885,6601.36,130.48339046779066
dfs_se,43.32,8.001102680898157,91.66,7.6610134981964935,84.04,6.682067424282446,137.36,11.309738080017436,0,0.0,0,0.0,189.41,8.62484026948821,189.41,8.62484026948821,5317.04,223.1056222885068,67.27,7.059865739562731,91.96,7.273972552307942,0,0.0,157.17,10.26374498674252,0,0.0,0,0.0,318.76,17.414953387929565,318.76,17.414953387929565,5485.645,210.93206801787096,0,0.0,0,0.0,0,0.0,0,0.0,65.93,6.786770264755277,137.75,11.375896780866213,184.19,8.921484305064588,184.19,8.921484305064588,6187.86,342.29304949023333
dfs_sb,45.95,7.996709849747747,94.48,7.964180461671193,84.04,6.682067424282446,147.99,7.48665646751984,0,0.0,0,0.0,202.86,0.970956689163104,202.86,0.970956689163104,5607.665,81.40424991830528,45.34,7.327936040696681,155.08,10.9797535249509,0,0.0,93.32,11.117851255586817,0,0.0,0,0.0,284.13,14.650244850700062,284.13,14.650244850700062,4771.53,130.53842269423492,0,0.0,0,0.0,0,0.0,0,0.0,156.43,15.51731509215344,27.88,1.520321823205629,193.89,1.357389504034918,193.89,1.357389504034918,4740.56,312.6935393061544
dfs_sbe,43.32,8.001102680898157,91.66,7.6610134981964935,84.04,6.682067424282446,137.36,11.309738080017436,0,0.0,0,0.0,189.41,8.62484026948821,189.41,8.62484026948821,5317.04,223.1056222885068,43.77,7.14736399171577,150.75,11.552538806782062,0,0.0,91.28,11.499225210905639,0,0.0,0,0.0,275.03,16.653601896897584,275.03,16.653601896897584,4642.145,178.8114238191189,0,0.0,0,0.0,0,0.0,0,0.0,153.8,16.13725588719849,26.24,3.7413090601698857,188.91,5.2679481959761825,188.91,5.2679481959761825,4618.84,379.6341391379304
dfs_r,97.75825,7.94150954359168,157.48875,8.322390821437443,42.73625,5.81675550445862,80.48625,8.089479022484316,0,0.0,0,0.0,234.414,7.889909167200004,234.414,7.889909167200004,5083.817625,107.75375176584005,77.75575,7.014619958400469,159.17775,8.489356408501038,0,0.0,91.4935,8.393632766433997,0,0.0,0,0.0,348.17125,14.160457375232234,348.17125,14.160457375232234,5218.179875,134.3743104961462,0,0.0,0,0.0,0,0.0,0,0.0,114.38,9.041987579334878,78.90075,7.83678845260051,191.18575,1.613659788176552,191.18575,1.613659788176552,5419.3655,183.9087437188729
dfs_re,96.05575,8.30390755353553,153.61725,9.037791370446318,42.726,5.818280424384356,78.446,8.016523570884116,0,0.0,0,0.0,228.525,10.357349741773634,228.525,10.357349741773634,4971.484375,161.67014374090127,75.71775,7.21918375517778,155.2795,9.288673189019145,0,0.0,89.3965,8.398715518196154,0,0.0,0,0.0,338.31225,17.210412531731425,338.31225,17.210412531731425,5086.908125,187.82616840810306,0,0.0,0,0.0,0,0.0,0,0.0,111.39375,9.5207600618616,76.8195,8.065741366790096,185.26625,6.869327321649696,185.26625,6.869327321649696,5273.525,243.93230232388095
